province_id,province,item_id,item_name,category,price_gold
0,辽东 リョウトウ,0,短剣,剣 sword,50
0,辽东 リョウトウ,1,飛剣,剣 sword,70
0,辽东 リョウトウ,2,長剣,剣 sword,120
0,辽东 リョウトウ,3,破斬剣,剣 sword,180
0,辽东 リョウトウ,8,薤刀,刀 blade,60
0,辽东 リョウトウ,9,眉尖刀,刀 blade,100
0,辽东 リョウトウ,10,三尖刀,刀 blade,150
0,辽东 リョウトウ,11,鉤鐮刀,刀 blade,200
0,辽东 リョウトウ,16,矛,槍 spear,80
0,辽东 リョウトウ,17,双戟,槍 spear,100
0,辽东 リョウトウ,18,単鉤槍,槍 spear,120
0,辽东 リョウトウ,19,戦斧,槍 spear,200
0,辽东 リョウトウ,24,綸巾,防具 armor,50
0,辽东 リョウトウ,25,籠手,防具 armor,80
0,辽东 リョウトウ,26,兜,防具 armor,100
0,辽东 リョウトウ,27,硬皮,防具 armor,150
1,幽州 ユウシュウ,0,短剣,剣 sword,50
1,幽州 ユウシュウ,1,飛剣,剣 sword,70
1,幽州 ユウシュウ,2,長剣,剣 sword,120
1,幽州 ユウシュウ,3,破斬剣,剣 sword,180
1,幽州 ユウシュウ,8,薤刀,刀 blade,60
1,幽州 ユウシュウ,9,眉尖刀,刀 blade,100
1,幽州 ユウシュウ,10,三尖刀,刀 blade,150
1,幽州 ユウシュウ,11,鉤鐮刀,刀 blade,200
1,幽州 ユウシュウ,16,矛,槍 spear,80
1,幽州 ユウシュウ,17,双戟,槍 spear,100
1,幽州 ユウシュウ,18,単鉤槍,槍 spear,120
1,幽州 ユウシュウ,19,戦斧,槍 spear,200
1,幽州 ユウシュウ,24,綸巾,防具 armor,50
1,幽州 ユウシュウ,25,籠手,防具 armor,80
1,幽州 ユウシュウ,26,兜,防具 armor,100
1,幽州 ユウシュウ,27,硬皮,防具 armor,150
2,并州 ヘイシュウ,0,短剣,剣 sword,50
2,并州 ヘイシュウ,1,飛剣,剣 sword,70
2,并州 ヘイシュウ,2,長剣,剣 sword,120
2,并州 ヘイシュウ,3,破斬剣,剣 sword,180
2,并州 ヘイシュウ,8,薤刀,刀 blade,60
2,并州 ヘイシュウ,9,眉尖刀,刀 blade,100
2,并州 ヘイシュウ,10,三尖刀,刀 blade,150
2,并州 ヘイシュウ,11,鉤鐮刀,刀 blade,200
2,并州 ヘイシュウ,16,矛,槍 spear,80
2,并州 ヘイシュウ,17,双戟,槍 spear,100
2,并州 ヘイシュウ,18,単鉤槍,槍 spear,120
2,并州 ヘイシュウ,19,戦斧,槍 spear,200
2,并州 ヘイシュウ,24,綸巾,防具 armor,50
2,并州 ヘイシュウ,25,籠手,防具 armor,80
2,并州 ヘイシュウ,26,兜,防具 armor,100
2,并州 ヘイシュウ,27,硬皮,防具 armor,150
3,青州 セイシュウ,0,短剣,剣 sword,50
3,青州 セイシュウ,1,飛剣,剣 sword,70
3,青州 セイシュウ,2,長剣,剣 sword,120
3,青州 セイシュウ,3,破斬剣,剣 sword,180
3,青州 セイシュウ,8,薤刀,刀 blade,60
3,青州 セイシュウ,9,眉尖刀,刀 blade,100
3,青州 セイシュウ,10,三尖刀,刀 blade,150
3,青州 セイシュウ,11,鉤鐮刀,刀 blade,200
3,青州 セイシュウ,16,矛,槍 spear,80
3,青州 セイシュウ,17,双戟,槍 spear,100
3,青州 セイシュウ,18,単鉤槍,槍 spear,120
3,青州 セイシュウ,19,戦斧,槍 spear,200
3,青州 セイシュウ,24,綸巾,防具 armor,50
3,青州 セイシュウ,25,籠手,防具 armor,80
3,青州 セイシュウ,26,兜,防具 armor,100
3,青州 セイシュウ,27,硬皮,防具 armor,150
4,冀州 キシュウ,1,飛剣,剣 sword,70
4,冀州 キシュウ,2,長剣,剣 sword,120
4,冀州 キシュウ,3,破斬剣,剣 sword,180
4,冀州 キシュウ,4,大剣,剣 sword,250
4,冀州 キシュウ,10,三尖刀,刀 blade,150
4,冀州 キシュウ,11,鉤鐮刀,刀 blade,200
4,冀州 キシュウ,12,偃月刀,刀 blade,240
4,冀州 キシュウ,13,鳳嘴刀,刀 blade,260
4,冀州 キシュウ,18,単鉤槍,槍 spear,120
4,冀州 キシュウ,19,戦斧,槍 spear,200
4,冀州 キシュウ,20,双鉤槍,槍 spear,250
4,冀州 キシュウ,21,方天画戟,槍 spear,300
