id,katakana,zh_hans,kanji_ja,pinyin,vitality,might,intelligence,loyalty,virtue,officer_level,experience,troop_count,army_affinity,weapon,armor,weapon_index,armor_index,army_affinity_code,data_offset,hex
0,アカイナン,阿会喃,阿会喃,ā huì nán,71,64,24,68,52,3,2000,0,山,双戟,兜,17,2,5,139280,474018443400D00700005125
1,イコウ,韦康,韋康,wéi kāng,57,40,43,57,68,2,1000,0,平,短剣,綸巾,0,0,1,139292,39282B394400E80300000011
2,イセキ,伊籍,伊籍,yī jí,60,33,84,71,87,1,0,0,平,短剣,綸巾,0,0,1,139304,3C2154475700000000000001
3,インカイ,尹楷,尹楷,yǐn kǎi,70,54,39,75,48,2,1000,0,平,矛,籠手,16,1,1,139316,4636274B3000E80300003011
4,インショウ,尹赏,尹賞,yǐn shǎng,73,62,38,64,70,1,0,0,平,飛剣,綸巾,1,0,1,139328,493E26404600000000000101
5,ウキン,于禁,于禁,yú jìn,77,79,56,86,59,2,1000,700,水,薤刀,兜,8,2,10,139340,4D4F38563B00E803BC02481A
6,エツキツ,越吉,越吉,yuè jí,88,81,21,66,56,3,2000,0,山,三尖刀,兜,10,2,5,139352,585115423800D00700004A25
7,エンキ,袁熙,袁煕,yuán xī,64,50,23,83,46,1,0,1000,平,飛剣,籠手,1,1,2,139364,403217532E000000E8032102
8,エンショウ,袁绍,袁紹,yuán shào,75,70,52,100,50,3,2000,1000,水,長剣,硬皮,2,3,10,139376,4B4634643200D007E803622A
9,エンタン,袁谭,袁譚,yuán tán,70,57,30,80,45,2,1000,700,平,薤刀,籠手,8,1,2,139388,46391E502D00E803BC022812
10,エンホ,阎圃,閻圃,yán pǔ,53,32,78,77,74,1,0,0,平,短剣,綸巾,0,0,1,139400,35204E4D4A00000000000001
11,オウケン,王建,王建,wáng jiàn,42,24,75,59,41,3,2000,0,平,飛剣,綸巾,1,0,1,139412,2A184B3B2900D00700000121
12,オウサン,王粲,王粲,wáng càn,59,34,82,63,70,2,1000,0,平,短剣,綸巾,0,0,1,139424,3B22523F4600E80300000011
13,オウソウ,王双,王双,wáng shuāng,90,89,13,81,38,3,2000,0,山,鉤鐮刀,綸巾,11,0,5,139436,5A590D512600D00700000B25
14,オウチュウ,王忠,王忠,wáng zhōng,68,36,38,62,41,1,0,0,平,薤刀,籠手,8,1,1,139448,4424263E2900000000002801
15,オウヘイ,王平,王平,wáng píng,84,71,48,67,74,2,1000,0,水,単鉤槍,籠手,18,1,9,139460,544730434A00E80300003219
16,オウホ,王甫,王甫,wáng fǔ,62,38,79,80,53,1,0,0,平,短剣,綸巾,0,0,2,139472,3E264F503500000000000002
17,オウルイ,王累,王累,wáng lèi,64,42,77,89,84,1,0,0,平,飛剣,綸巾,1,0,1,139484,402A4D595400000000000101
18,カイエツ,蒯越,蒯越,kuǎi yuè,59,41,84,64,58,2,1000,0,平,短剣,綸巾,0,0,1,139496,3B2954403A00E80300000011
19,カイリョウ,蒯良,蒯良,kuǎi liáng,64,38,89,70,79,2,1000,0,平,短剣,綸巾,0,0,1,139508,402659464F00E80300000011
20,カカ,贾华,賈華,jiǎ huá,79,65,58,75,42,1,0,0,平,飛剣,籠手,1,1,1,139520,4F413A4B2A00000000002101
21,カキン,华歆,華歆,huà xīn,63,27,85,64,80,1,0,0,平,短剣,綸巾,0,0,1,139532,3F1B55405000000000000001
22,カク,贾诩,賈詡,jiǎ xǔ,52,46,95,70,65,2,1000,1000,平,短剣,綸巾,0,0,2,139544,342E5F464100E803E8030012
23,カクシ,郭汜,郭汜,guō sì,66,62,24,81,12,1,0,1000,水,双戟,籠手,17,1,10,139556,423E18510C000000E803310A
24,カクカ,郭嘉,郭嘉,guō jiā,49,36,97,90,81,3,2000,0,平,短剣,綸巾,0,0,1,139568,3124615A5100D00700000021
25,カクショウ,郝昭,郝昭,hǎo zhāo,81,76,74,83,75,2,1000,0,山,矛,兜,16,2,5,139580,514C4A534B00E80300005015
26,ガクシン,乐进,楽進,yuè jìn,80,56,50,85,60,1,0,500,平,矛,籠手,16,1,2,139592,503832553C000000F4013002
27,カクト,郭图,郭図,guō tú,54,31,80,82,25,2,1000,500,平,短剣,綸巾,0,0,2,139604,361F50521900E803F4010012
28,カクワイ,郭淮,郭淮,guō huái,71,64,86,86,70,3,2000,0,水,薤刀,兜,8,2,9,139616,474056564600D00700004829
29,カコウエン,夏侯渊,夏侯淵,xià hóu yuān,96,87,33,91,51,2,1000,1000,山,眉尖刀,籠手,9,1,6,139628,6057215B3300E803E8032916
30,カコウトン,夏侯惇,夏侯惇,xià hóu dūn,94,89,60,92,68,2,1000,800,山,単鉤槍,兜,18,2,6,139640,5E593C5C4400E80320035216
