id,name_addr,file_offset,sram_record,hex,katakana,hiragana,romaji,glyphs,scale,blank
0,$901A,0x2101a,$63C0,0409051831,アカイナン,あかいなん,Akainan,5,1,0
1,$9024,0x21024,$63CC,050D06,イコウ,いこう,Ikou,3,2,0
2,$902E,0x2102e,$63D8,05110A,イセキ,いせき,Iseki,3,2,0
3,$9038,0x21038,$63E4,05310905,インカイ,いんかい,Inkai,4,2,0
4,$9042,0x21042,$63F0,05310F3706,インショウ,いんしょう,Inshou,5,1,0
5,$904C,0x2104c,$63FC,060A31,ウキン,うきん,Ukin,3,2,0
6,$9056,0x21056,$6408,07150A15,エツキツ,えつきつ,Etsukitsu,4,2,0
7,$9060,0x21060,$6414,07310A,エンキ,えんき,Enki,3,2,0
8,$906A,0x2106a,$6420,07310F3706,エンショウ,えんしょう,Enshou,5,1,0
9,$9074,0x21074,$642C,07311331,エンタン,えんたん,Entan,4,2,0
10,$907E,0x2107e,$6438,073121,エンホ,えんほ,Enho,3,2,0
11,$9088,0x21088,$6444,08060C31,オウケン,おうけん,Ouken,4,2,0
12,$9092,0x21092,$6450,08060E31,オウサン,おうさん,Ousan,4,2,0
13,$909C,0x2109c,$645C,08061206,オウソウ,おうそう,Ousou,4,2,0
14,$90A6,0x210a6,$6468,0806143606,オウチュウ,おうちゅう,Ouchuu,5,1,0
15,$90B0,0x210b0,$6474,08062005,オウヘイ,おうへい,Ouhei,4,2,0
16,$90BA,0x210ba,$6480,080621,オウホ,おうほ,Ouho,3,2,0
17,$90C4,0x210c4,$648C,08062C05,オウルイ,おうるい,Ourui,4,2,0
18,$90CE,0x210ce,$6498,09050715,カイエツ,かいえつ,Kaietsu,4,2,0
19,$90D8,0x210d8,$64A4,09052B3706,カイリョウ,かいりょう,Kairyou,5,1,0
20,$90E2,0x210e2,$64B0,0909,カカ,かか,Kaka,2,3,0
21,$90EC,0x210ec,$64BC,090A31,カキン,かきん,Kakin,3,2,0
22,$90F6,0x210f6,$64C8,090B,カク,かく,Kaku,2,3,0
23,$9100,0x21100,$64D4,090B0F,カクシ,かくし,Kakushi,3,2,0
24,$910A,0x2110a,$64E0,090B09,カクカ,かくか,Kakuka,3,2,0
25,$9114,0x21114,$64EC,090B0F3706,カクショウ,かくしょう,Kakushou,5,1,0
26,$911E,0x2111e,$64F8,09390B0F31,ガクシン,がくしん,Gakushin,4,2,0
27,$9128,0x21128,$6504,090B17,カクト,かくと,Kakuto,3,2,0
28,$9132,0x21132,$6510,090B2F05,カクワイ,かくわい,Kakuwai,4,2,0
29,$913C,0x2113c,$651C,090D060731,カコウエン,かこうえん,Kakouen,5,1,0
30,$9146,0x21146,$6528,090D061731,カコウトン,かこうとん,Kakouton,5,1,0
31,$9150,0x21150,$6534,090D061D,カコウハ,かこうは,Kakouha,4,2,0
32,$915A,0x2115a,$6540,090D06213906,カコウボウ,かこうぼう,Kakoubou,5,1,0
33,$9164,0x21164,$654C,090D062A31,カコウラン,かこうらん,Kakouran,5,1,0
34,$916E,0x2116e,$6558,09391331,ガタン,がたん,Gatan,3,2,0
35,$9178,0x21178,$6564,0939380931,ガッカン,がっかん,Gakkan,4,2,0
36,$9182,0x21182,$6570,091D31,カハン,かはん,Kahan,3,2,0
37,$918C,0x2118c,$657C,092806,カユウ,かゆう,Kayuu,3,2,0
38,$9196,0x21196,$6588,093106,カンウ,かんう,Kan'u,3,2,0
39,$91A0,0x211a0,$6594,09310705,カンエイ,かんえい,Kan'ei,4,2,0
40,$91AA,0x211aa,$65A0,09310A,カンキ,かんき,Kanki,3,2,0
41,$91B4,0x211b4,$65AC,09310C3931,カンゲン,かんげん,Kangen,4,2,0
42,$91BE,0x211be,$65B8,09310D06,カンコウ,かんこう,Kankou,4,2,0
43,$91C8,0x211c8,$65C4,09310E0B,カンサク,かんさく,Kansaku,4,2,0
44,$91D2,0x211d2,$65D0,09311005,カンスイ,かんすい,Kansui,4,2,0
45,$91DC,0x211dc,$65DC,09311706,カントウ,かんとう,Kantou,4,2,0
46,$91E6,0x211e6,$65E8,0931170B,カントク,かんとく,Kantoku,4,2,0
47,$91F0,0x211f0,$65F4,09311B05,カンネイ,かんねい,Kannei,4,2,0
48,$91FA,0x211fa,$6600,0931203A05,カンペイ,かんぺい,Kanpei,4,2,0
49,$9204,0x21204,$660C,09312606,カンモウ,かんもう,Kanmou,4,2,0
50,$920E,0x2120e,$6618,09312906,カンヨウ,かんよう,Kanyou,4,2,0
51,$9218,0x21218,$6624,0939312B3706,ガンリョウ,がんりょう,Ganryou,5,1,0
52,$9222,0x21222,$6630,0A390731,ギエン,ぎえん,Gien,3,2,0
53,$922C,0x2122c,$663C,0A390A37,ギキョ,ぎきょ,Gikyo,3,2,0
54,$9236,0x21236,$6648,0A3936060A31,ギュウキン,ぎゅうきん,Gyuukin,5,1,0
55,$9240,0x21240,$6654,0A370605,キョウイ,きょうい,Kyoui,4,2,0
56,$924A,0x2124a,$6660,0A372806,キョユウ,きょゆう,Kyoyuu,4,2,0
57,$9254,0x21254,$666C,0A371437,キョチョ,きょちょ,Kyocho,4,2,0
58,$925E,0x2125e,$6678,0A392A31,ギラン,ぎらん,Giran,3,2,0
59,$9268,0x21268,$6684,0A2D05,キレイ,きれい,Kirei,3,2,0
60,$9272,0x21272,$6690,0A3109310C15,キンカンケツ,きんかんけつ,Kinkanketsu,6,1,0
61,$927C,0x2127c,$669C,0B392131,グホン,ぐほん,Guhon,3,2,0
62,$9286,0x21286,$66A8,0C051739060705,ケイドウエイ,けいどうえい,Keidouei,6,1,0
63,$9290,0x21290,$66B4,0C3931093931,ゲンガン,げんがん,Gengan,4,2,0
64,$929A,0x2129a,$66C0,0C39310F3631,ゲンシュン,げんしゅん,Genshun,5,1,0
65,$92A4,0x212a4,$66CC,0C39310D06,ゲンコウ,げんこう,Genkou,4,2,0
66,$92AE,0x212ae,$66D8,0D3905,ゴイ,ごい,Goi,2,3,0
67,$92B8,0x212b8,$66E4,0D06093905,コウガイ,こうがい,Kougai,4,2,0
68,$92C2,0x212c2,$66F0,0D060931,コウカン,こうかん,Koukan,4,2,0
69,$92CC,0x212cc,$66FC,0D060F3706,コウショウ,こうしょう,Koushou,5,1,0
70,$92D6,0x212d6,$6708,0D060C31,コウケン,こうけん,Kouken,4,2,0
71,$92E0,0x212e0,$6714,0D061105,コウセイ,こうせい,Kousei,4,2,0
72,$92EA,0x212ea,$6720,0D061131,コウセン,こうせん,Kousen,4,2,0
73,$92F4,0x212f4,$672C,0D0612310731,コウソンエン,こうそんえん,Kouson'en,6,1,0
74,$92FE,0x212fe,$6738,0D0612310D06,コウソンコウ,こうそんこう,Kousonkou,6,1,0
75,$9308,0x21308,$6744,0D06143606,コウチュウ,こうちゅう,Kouchuu,5,1,0
76,$9312,0x21312,$6750,0D061605,コウテイ,こうてい,Koutei,4,2,0
77,$931C,0x2131c,$675C,0D062A31,コウラン,こうらん,Kouran,4,2,0
78,$9326,0x21326,$6768,0D391517150D15,ゴツトツコツ,ごつとつこつ,Gotsutotsukotsu,6,1,0
79,$9330,0x21330,$6774,0D2906,コヨウ,こよう,Koyou,3,2,0
80,$933A,0x2133a,$6780,0D0F350F39,コシャジ,こしゃじ,Koshaji,4,2,0
81,$9344,0x21344,$678C,0D392A31,ゴラン,ごらん,Goran,3,2,0
82,$934E,0x2134e,$6798,0E050731,サイエン,さいえん,Saien,4,2,0
83,$9358,0x21358,$67A4,0E052906,サイヨウ,さいよう,Saiyou,4,2,0
84,$9362,0x21362,$67B0,0E052B3706,サイリョウ,さいりょう,Sairyou,5,1,0
85,$936C,0x2136c,$67BC,0F0931,シカン,しかん,Shikan,3,2,0
86,$9376,0x21376,$67C8,0F1D3905,シバイ,しばい,Shibai,3,2,0
87,$9380,0x21380,$67D4,0F1D390F,シバシ,しばし,Shibashi,3,2,0
88,$938A,0x2138a,$67E0,0F1D390F3706,シバショウ,しばしょう,Shibashou,5,1,0
89,$9394,0x21394,$67EC,0F3606113931,シュウゼン,しゅうぜん,Shuuzen,5,1,0
90,$939E,0x2139e,$67F8,0F36061206,シュウソウ,しゅうそう,Shuusou,5,1,0
91,$93A8,0x213a8,$6804,0F36061305,シュウタイ,しゅうたい,Shuutai,5,1,0
92,$93B2,0x213b2,$6810,0F36062106,シュウホウ,しゅうほう,Shuuhou,5,1,0
93,$93BC,0x213bc,$681C,0F360628,シュウユ,しゅうゆ,Shuuyu,4,2,0
94,$93C6,0x213c6,$6828,0F360931,シュカン,しゅかん,Shukan,4,2,0
95,$93D0,0x213d0,$6834,0F36113931,シュゼン,しゅぜん,Shuzen,4,2,0
96,$93DA,0x213da,$6840,0F3614,シュチ,しゅち,Shuchi,3,2,0
97,$93E4,0x213e4,$684C,0F362106,シュホウ,しゅほう,Shuhou,4,2,0
98,$93EE,0x213ee,$6858,0F362D05,シュレイ,しゅれい,Shurei,4,2,0
99,$93F8,0x213f8,$6864,0F393631050B,ジュンイク,じゅんいく,Jun'iku,5,1,0
100,$9402,0x21402,$6870,0F393631060C05,ジュンウケイ,じゅんうけい,Jun'ukei,6,1,0
101,$940C,0x2140c,$687C,0F3936310F3931,ジュンジン,じゅんじん,Junjin,5,1,0
102,$9416,0x21416,$6888,0F37060931,ショウカン,しょうかん,Shoukan,5,1,0
103,$9420,0x21420,$6894,0F37060905,ショウカイ,しょうかい,Shoukai,5,1,0
104,$942A,0x2142a,$68A0,0F37060731,ショウエン,しょうえん,Shouen,5,1,0
105,$9434,0x21434,$68AC,0F3706143706,ショウチョウ,しょうちょう,Shouchou,6,1,0
106,$943E,0x2143e,$68B8,0F39370705,ジョエイ,じょえい,Joei,4,2,0
107,$9448,0x21448,$68C4,0F3709150A31,ショカツキン,しょかつきん,Shokatsukin,6,1,0
108,$9452,0x21452,$68D0,0F3709151131,ショカツセン,しょかつせん,Shokatsusen,6,1,0
109,$945C,0x2145c,$68DC,0F3709152B3706,ショカツリョウ,しょかつりょう,Shokatsuryou,7,0,0
110,$9466,0x21466,$68E8,0F370915090B,ショカツカク,しょかつかく,Shokatsukaku,6,1,0
111,$9470,0x21470,$68F4,0F39370D06,ジョコウ,じょこう,Jokou,4,2,0
112,$947A,0x2147a,$6900,0F39370F37,ジョショ,じょしょ,Josho,4,2,0
113,$9484,0x21484,$690C,0F39371105,ジョセイ,じょせい,Josei,4,2,0
114,$948E,0x2148e,$6918,0F39310F3631,ジンシュン,じんしゅん,Jinshun,5,1,0
115,$9498,0x21498,$6924,0F39311206,ジンソウ,じんそう,Jinsou,4,2,0
116,$94A2,0x214a2,$6930,0F311331,シンタン,しんたん,Shintan,4,2,0
117,$94AC,0x214ac,$693C,0F311D3A05,シンパイ,しんぱい,Shinpai,4,2,0
118,$94B6,0x214b6,$6948,0F311E3A,シンピ,しんぴ,Shinpi,3,2,0
119,$94C0,0x214c0,$6954,0F311E3A3706,シンピョウ,しんぴょう,Shinpyou,5,1,0
120,$94CA,0x214ca,$6960,11050A39,セイギ,せいぎ,Seigi,3,2,0
121,$94D4,0x214d4,$696C,11381206,セッソウ,せっそう,Sessou,4,2,0
122,$94DE,0x214de,$6978,1139311206,ゼンソウ,ぜんそう,Zensou,4,2,0
123,$94E8,0x214e8,$6984,12060705,ソウエイ,そうえい,Souei,4,2,0
124,$94F2,0x214f2,$6990,12060A3606,ソウキュウ,そうきゅう,Soukyuu,5,1,0
125,$94FC,0x214fc,$699C,12060C31,ソウケン,そうけん,Souken,4,2,0
126,$9506,0x21506,$69A8,12060D06,ソウコウ,そうこう,Soukou,4,2,0
127,$9510,0x21510,$69B4,12060F3706,ソウショウ,そうしょう,Soushou,5,1,0
128,$951A,0x2151a,$69C0,12060F370B,ソウショク,そうしょく,Soushoku,5,1,0
129,$9524,0x21524,$69CC,12060F31,ソウシン,そうしん,Soushin,4,2,0
130,$952E,0x2152e,$69D8,12060F3931,ソウジン,そうじん,Soujin,4,2,0
131,$9538,0x21538,$69E4,12061206,ソウソウ,そうそう,Sousou,4,2,0
132,$9542,0x21542,$69F0,12061E,ソウヒ,そうひ,Souhi,3,2,0
133,$954C,0x2154c,$69FC,12062806,ソウユウ,そうゆう,Souyuu,4,2,0
134,$9556,0x21556,$6A08,120F3936,ソジュ,そじゅ,Soju,3,2,0
135,$9560,0x21560,$6A14,121E,ソヒ,そひ,Sohi,2,3,0
136,$956A,0x2156a,$6A20,12310931,ソンカン,そんかん,Sonkan,4,2,0
137,$9574,0x21574,$6A2C,12310C31,ソンケン,そんけん,Sonken,4,2,0
138,$957E,0x2157e,$6A38,12310E0B,ソンサク,そんさく,Sonsaku,4,2,0
139,$9588,0x21588,$6A44,1231290B,ソンヨク,そんよく,Sonyoku,4,2,0
140,$9592,0x21592,$6A50,12312D05,ソンレイ,そんれい,Sonrei,4,2,0
141,$959C,0x2159c,$6A5C,13050F0F39,タイシジ,たいしじ,Taishiji,4,2,0
142,$95A6,0x215a6,$6A68,13312806,タンユウ,たんゆう,Tanyuu,4,2,0
143,$95B0,0x215b0,$6A74,1437060E05,チョウサイ,ちょうさい,Chousai,5,1,0
144,$95BA,0x215ba,$6A80,1437060631,チョウウン,ちょううん,Chouun,5,1,0
145,$95C4,0x215c4,$6A8C,1437060705,チョウエイ,ちょうえい,Chouei,5,1,0
146,$95CE,0x215ce,$6A98,1437060806,チョウオウ,ちょうおう,Chouou,5,1,0
147,$95D8,0x215d8,$6AA4,1437060A39,チョウギ,ちょうぎ,Chougi,4,2,0
148,$95E2,0x215e2,$6AB0,1437060C3915,チョウゲツ,ちょうげつ,Chougetsu,5,1,0
149,$95EC,0x215ec,$6ABC,1437060D06,チョウコウ,ちょうこう,Choukou,5,1,0
150,$95F6,0x215f6,$6AC8,1437060F3706,チョウショウ,ちょうしょう,Choushou,6,1,0
151,$9600,0x21600,$6AD4,1437060F3931,チョウジン,ちょうじん,Choujin,5,1,0
152,$960A,0x2160a,$6AE0,1437061831,チョウナン,ちょうなん,Chounan,5,1,0
153,$9614,0x21614,$6AEC,1437061E,チョウヒ,ちょうひ,Chouhi,4,2,0
154,$961E,0x2161e,$6AF8,1437062106,チョウホウ,ちょうほう,Chouhou,5,1,0
155,$9628,0x21628,$6B04,143706290B,チョウヨク,ちょうよく,Chouyoku,5,1,0
156,$9632,0x21632,$6B10,1437062B3706,チョウリョウ,ちょうりょう,Chouryou,6,1,0
157,$963C,0x2163c,$6B1C,14310F31,チンシン,ちんしん,Chinshin,4,2,0
158,$9646,0x21646,$6B28,14311F39,チンブ,ちんぶ,Chinbu,3,2,0
159,$9650,0x21650,$6B34,14312A31,チンラン,ちんらん,Chinran,4,2,0
160,$965A,0x2165a,$6B40,14312B31,チンリン,ちんりん,Chinrin,4,2,0
161,$9664,0x21664,$6B4C,1605050B,テイイク,ていいく,Teiiku,4,2,0
162,$966E,0x2166e,$6B58,16050A3931,テイギン,ていぎん,Teigin,4,2,0
163,$9678,0x21678,$6B64,16051F,テイフ,ていふ,Teifu,3,2,0
164,$9682,0x21682,$6B70,16052005,テイヘイ,ていへい,Teihei,4,2,0
165,$968C,0x2168c,$6B7C,163105,テンイ,てんい,Ten'i,3,2,0
166,$9696,0x21696,$6B88,163931143606,デンチュウ,でんちゅう,Denchuu,5,1,0
167,$96A0,0x216a0,$6B94,1639312106,デンホウ,でんほう,Denhou,4,2,0
168,$96AA,0x216aa,$6BA0,17060531,トウイン,とういん,Touin,4,2,0
169,$96B4,0x216b4,$6BAC,1706093905,トウガイ,とうがい,Tougai,4,2,0
170,$96BE,0x216be,$6BB8,17060F,トウシ,とうし,Toushi,3,2,0
171,$96C8,0x216c8,$6BC4,17060F3606,トウシュウ,とうしゅう,Toushuu,5,1,0
172,$96D2,0x216d2,$6BD0,1706171A,トウトヌ,とうとぬ,Toutonu,4,2,0
