id,katakana,hiragana,romaji,kanji_ja,zh_hant,zh_hans,pinyin,note
0,アカイナン,あかいなん,Akainan,阿会喃,阿會喃,阿会喃,ā huì nán,
1,イコウ,いこう,Ikou,韋康,韋康,韦康,wéi kāng,
2,イセキ,いせき,Iseki,伊籍,伊籍,伊籍,yī jí,
3,インカイ,いんかい,Inkai,尹楷,尹楷,尹楷,yǐn kǎi,
4,インショウ,いんしょう,Inshou,尹賞,尹賞,尹赏,yǐn shǎng,
5,ウキン,うきん,Ukin,于禁,于禁,于禁,yú jìn,page transcription 於禁 corrected (於=オ); ROM reads ウキン
6,エツキツ,えつきつ,Etsukitsu,越吉,越吉,越吉,yuè jí,
7,エンキ,えんき,Enki,袁煕,袁熙,袁熙,yuán xī,
8,エンショウ,えんしょう,Enshou,袁紹,袁紹,袁绍,yuán shào,
9,エンタン,えんたん,Entan,袁譚,袁譚,袁谭,yuán tán,
10,エンホ,えんほ,Enho,閻圃,閻圃,阎圃,yán pǔ,
11,オウケン,おうけん,Ouken,王建,王建,王建,wáng jiàn,
12,オウサン,おうさん,Ousan,王粲,王粲,王粲,wáng càn,
13,オウソウ,おうそう,Ousou,王双,王雙,王双,wáng shuāng,
14,オウチュウ,おうちゅう,Ouchuu,王忠,王忠,王忠,wáng zhōng,
15,オウヘイ,おうへい,Ouhei,王平,王平,王平,wáng píng,
16,オウホ,おうほ,Ouho,王甫,王甫,王甫,wáng fǔ,
17,オウルイ,おうるい,Ourui,王累,王累,王累,wáng lèi,
18,カイエツ,かいえつ,Kaietsu,蒯越,蒯越,蒯越,kuǎi yuè,
19,カイリョウ,かいりょう,Kairyou,蒯良,蒯良,蒯良,kuǎi liáng,
20,カカ,かか,Kaka,賈華,賈華,贾华,jiǎ huá,
21,カキン,かきん,Kakin,華歆,華歆,华歆,huà xīn,
22,カク,かく,Kaku,賈詡,賈詡,贾诩,jiǎ xǔ,
23,カクシ,かくし,Kakushi,郭汜,郭汜,郭汜,guō sì,
24,カクカ,かくか,Kakuka,郭嘉,郭嘉,郭嘉,guō jiā,
25,カクショウ,かくしょう,Kakushou,郝昭,郝昭,郝昭,hǎo zhāo,
26,ガクシン,がくしん,Gakushin,楽進,樂進,乐进,yuè jìn,
27,カクト,かくと,Kakuto,郭図,郭圖,郭图,guō tú,
28,カクワイ,かくわい,Kakuwai,郭淮,郭淮,郭淮,guō huái,
29,カコウエン,かこうえん,Kakouen,夏侯淵,夏侯淵,夏侯渊,xià hóu yuān,
30,カコウトン,かこうとん,Kakouton,夏侯惇,夏侯惇,夏侯惇,xià hóu dūn,page transcription 夏候惇 corrected
31,カコウハ,かこうは,Kakouha,夏侯覇,夏侯霸,夏侯霸,xià hóu bà,
32,カコウボウ,かこうぼう,Kakoubou,夏侯楙,夏侯楙,夏侯楙,xià hóu mào,
33,カコウラン,かこうらん,Kakouran,夏侯蘭,夏侯蘭,夏侯兰,xià hóu lán,
34,ガタン,がたん,Gatan,雅丹,雅丹,雅丹,yǎ dān,
35,ガッカン,がっかん,Gakkan,鄂煥,鄂煥,鄂焕,è huàn,
36,カハン,かはん,Kahan,賈範,賈範,贾范,jiǎ fàn,page transcription had a stray trailing kana
37,カユウ,かゆう,Kayuu,華雄,華雄,华雄,huà xióng,
38,カンウ,かんう,Kan'u,関羽,關羽,关羽,guān yǔ,
39,カンエイ,かんえい,Kan'ei,韓瑛,韓瑛,韩瑛,hán yīng,
40,カンキ,かんき,Kanki,韓琪,韓琪,韩琪,hán qí,
41,カンゲン,かんげん,Kangen,韓玄,韓玄,韩玄,hán xuán,
42,カンコウ,かんこう,Kankou,関興,關興,关兴,guān xīng,
43,カンサク,かんさく,Kansaku,関索,關索,关索,guān suǒ,
44,カンスイ,かんすい,Kansui,韓遂,韓遂,韩遂,hán suì,
45,カントウ,かんとう,Kantou,韓当,韓當,韩当,hán dāng,
46,カントク,かんとく,Kantoku,韓徳,韓德,韩德,hán dé,
47,カンネイ,かんねい,Kannei,甘寧,甘寧,甘宁,gān níng,
48,カンペイ,かんぺい,Kanpei,関平,關平,关平,guān píng,
49,カンモウ,かんもう,Kanmou,韓猛,韓猛,韩猛,hán měng,
