id,katakana,zh_hans,kanji_ja,pinyin,country_id,ruler_officer_id,gold,rice,population,land_value,industry,disaster_prevention,governance,reserve_troops,treasure,officer_count,active_troops,officer_ids,officer_names,sram_record,data_offset,hex
0,リョウトウ,辽东,遼東,liáo dōng,7,,160,240,15000,20,35,25,35,100,0,0,0,,,$6000,0x20c00,0700A000F0009600140019236400230000FFFFFFFFFFFFFFFFFFFF0000000000
1,ユウシュウ,幽州,幽州,yōu zhōu,1,,180,270,20000,25,40,30,40,100,0,3,2300,77 7 27,高览 袁熙 郭图,$6020,0x20c20,0100B4000E01C80019001E2864002800004D071BFFFFFFFFFFFFFF0000000000
2,ヘイシュウ,并州,并州,bīng zhōu,4,222,190,280,21000,30,35,40,45,100,0,3,2100,222 38 153,刘备 关羽 张飞,$6040,0x20c40,0400BE001801D2001E00282D6400230000DE2699FFFFFFFFFFFFFF0000000000
3,セイシュウ,青州,青州,qīng zhōu,1,,220,330,25000,35,50,35,50,100,0,4,2000,134 117 9 194,沮授 审配 袁谭 逄纪,$6060,0x20c60,0100DC004A01FA00230023326400320000867509C2FFFFFFFFFFFF0000000000
4,キシュウ,冀州,冀州,jì zhōu,1,8,270,390,35000,40,45,45,50,100,0,4,3500,8 51 191 167,袁绍 颜良 文丑 田丰,$6080,0x20c80,01000E0186015E0128002D3264002D00000833BFA7FFFFFFFFFFFF0000000000
5,セイアンヨウ,西安阳,西安陽,xī ān yáng,7,,150,220,10000,15,15,20,30,100,0,0,0,,,$60A0,0x20ca0,07009600DC0064000F00141E64000F0000FFFFFFFFFFFFFFFFFFFF0000000000
6,リョウシュウ,凉州,涼州,liáng zhōu,6,182,170,250,14000,15,20,40,45,100,0,2,1500,182 44,马腾 韩遂,$60C0,0x20cc0,0600AA00FA008C000F00282D6400140000B62CFFFFFFFFFFFFFFFF0000000000
7,アンテイ,安定,安定,ān dìng,6,,190,280,16000,20,25,35,40,100,0,3,2500,162 146 148,程银 张横 赵月,$60E0,0x20ce0,0600BE001801A000140023286400190000A29294FFFFFFFFFFFFFF0000000000
8,チョウアン,长安,長安,cháng ān,0,,500,700,40000,30,40,50,20,100,0,5,4500,22 211 23 37 186,贾诩 李傕 郭汜 华雄 樊稠,$6100,0x20d00,0000F401BC0290011E003214640028000016D31725BAFFFFFFFFFF0000000000
9,セイヘイカン,西平关,西平関,xī píng guān,6,,150,220,10000,15,15,20,30,100,0,2,1500,72 120,侯选 成宜,$6120,0x20d20,06009600DC0064000F00141E64000F00004878FFFFFFFFFFFFFFFF0000000000
10,ジョシュウ,徐州,徐州,xú zhōu,7,,190,280,22000,30,35,45,55,100,0,0,0,,,$6140,0x20d40,0700BE001801DC001E002D376400230000FFFFFFFFFFFFFFFFFFFF0000000000
11,エンシュウ,兖州,兗州,yǎn zhōu,2,131,220,330,21000,25,30,40,50,100,0,3,2500,131 5 30,曹操 于禁 夏侯惇,$6160,0x20d60,0200DC004A01D2001900283264001E000083051EFFFFFFFFFFFFFF0000000000
12,ラクヨウ,洛阳,洛陽,luò yáng,0,173,450,640,38000,35,40,45,20,100,0,5,3500,173 219 218 106 143,董卓 李儒 吕布 徐荣 张济,$6180,0x20d80,0000C20180027C0123002D146400280000ADDBDA6A8FFFFFFFFFFF0000000000
13,シンヤ,新野,新野,xīn yě,7,,200,300,19000,25,20,40,45,100,0,0,0,,,$61A0,0x20da0,0700C8002C01BE001900282D6400140000FFFFFFFFFFFFFFFFFFFF0000000000
14,ヨシュウ,豫州,豫州,yù zhōu,2,,250,360,22000,20,25,50,50,100,0,4,3300,130 29 126 26,曹仁 夏侯渊 曹洪 乐进,$61C0,0x20dc0,0200FA006801DC00140032326400190000821D7E1AFFFFFFFFFFFF0000000000
15,ケンギョウ,建业,建業,jiàn yè,3,,270,380,26000,25,30,45,50,100,0,2,1500,96 89,朱治 周善,$61E0,0x20de0,03000E017C01040119002D3264001E00006059FFFFFFFFFFFFFFFF0000000000
16,ヨウシュウ,扬州,揚州,yáng zhōu,3,,230,340,22000,30,25,40,45,100,0,2,1500,67 163,黄盖 程普,$6200,0x20e00,0300E6005401DC001E00282D640019000043A3FFFFFFFFFFFFFFFF0000000000
