id,name_addr,file_offset,hex,katakana,hiragana,romaji,glyphs,kanji_ja,zh_hant,zh_hans,pinyin,note
0,$9A1A,0x21a1a,2B37061706,リョウトウ,りょうとう,Ryoutou,5,遼東,遼東,辽东,liáo dōng,
1,$9A22,0x21a22,28060F3606,ユウシュウ,ゆうしゅう,Yuushuu,5,幽州,幽州,幽州,yōu zhōu,
2,$9A2A,0x21a2a,20050F3606,ヘイシュウ,へいしゅう,Heishuu,5,并州,并州,并州,bīng zhōu,Liu Bei's home province at the 189 start
3,$9A32,0x21a32,11050F3606,セイシュウ,せいしゅう,Seishuu,5,青州,青州,青州,qīng zhōu,
4,$9A3A,0x21a3a,0A0F3606,キシュウ,きしゅう,Kishuu,4,冀州,冀州,冀州,jì zhōu,
5,$9A42,0x21a42,110504312906,セイアンヨウ,せいあんよう,Seianyou,6,西安陽,西安陽,西安阳,xī ān yáng,
6,$9A4A,0x21a4a,2B37060F3606,リョウシュウ,りょうしゅう,Ryoushuu,6,涼州,涼州,凉州,liáng zhōu,
7,$9A52,0x21a52,04311605,アンテイ,あんてい,Antei,4,安定,安定,安定,ān dìng,
8,$9A5A,0x21a5a,1437060431,チョウアン,ちょうあん,Chouan,5,長安,長安,长安,cháng ān,
9,$9A62,0x21a62,110520050931,セイヘイカン,せいへいかん,Seiheikan,6,西平関,西平關,西平关,xī píng guān,
10,$9A6A,0x21a6a,0F39370F3606,ジョシュウ,じょしゅう,Joshuu,5,徐州,徐州,徐州,xú zhōu,kana ジョ = 徐 (dakuten $39 after シ)
11,$9A72,0x21a72,07310F3606,エンシュウ,えんしゅう,Enshuu,5,兗州,兗州,兖州,yǎn zhōu,兗 (エン); often printed 兖 in simplified text
12,$9A7A,0x21a7a,2A0B2906,ラクヨウ,らくよう,Rakuyou,4,洛陽,洛陽,洛阳,luò yáng,
13,$9A82,0x21a82,0F3127,シンヤ,しんや,Shinya,3,新野,新野,新野,xīn yě,
14,$9A8A,0x21a8a,290F3606,ヨシュウ,よしゅう,Yoshuu,4,豫州,豫州,豫州,yù zhōu,豫 = ヨ (not ヨウ)
15,$9A92,0x21a92,0C310A393706,ケンギョウ,けんぎょう,Kengyou,5,建業,建業,建业,jiàn yè,
16,$9A9A,0x21a9a,29060F3606,ヨウシュウ,ようしゅう,Youshuu,5,揚州,揚州,扬州,yáng zhōu,
17,$9AA2,0x21aa2,0C310431,ケンアン,けんあん,Ken'an,4,建安,建安,建安,jiàn ān,
18,$9AAA,0x21aaa,0D060F3606,コウシュウ,こうしゅう,Koushuu,5,交州,交州,交州,jiāo zhōu,
19,$9AB2,0x21ab2,050B2B31,イクリン,いくりん,Ikurin,4,郁林,鬱林,郁林,yù lín,Han commandery 鬱林/郁林; manual map prints 郁林
20,$9ABA,0x21aba,0D0609,コウカ,こうか,Kouka,3,江夏,江夏,江夏,jiāng xià,Sun Ce's home province at the 189 start
21,$9AC2,0x21ac2,0C050F3606,ケイシュウ,けいしゅう,Keishuu,5,荊州,荊州,荆州,jīng zhōu,
22,$9ACA,0x21aca,0F37062906,ショウヨウ,しょうよう,Shouyou,5,襄陽,襄陽,襄阳,xiāng yáng,襄 = ショウ; manual scan read as 衡陽(?) — ROM kana gives 襄陽
23,$9AD2,0x21ad2,1437060E,チョウサ,ちょうさ,Chousa,4,長沙,長沙,长沙,cháng shā,
24,$9ADA,0x21ada,2D052B3706,レイリョウ,れいりょう,Reiryou,5,零陵,零陵,零陵,líng líng,
25,$9AE2,0x21ae2,0931143606,カンチュウ,かんちゅう,Kanchuu,5,漢中,漢中,汉中,hàn zhōng,
26,$9AEA,0x21aea,110517,セイト,せいと,Seito,3,成都,成都,成都,chéng dū,
27,$9AF2,0x21af2,1F2B3706,フリョウ,ふりょう,Furyou,4,涪陵,涪陵,涪陵,fú líng,涪 = フ; manual scan read as 建寧(?) — ROM kana gives 涪陵
28,$9AFA,0x21afa,06311831,ウンナン,うんなん,Unnan,4,雲南,雲南,云南,yún nán,
29,$9B02,0x21b02,07050F3706,エイショウ,えいしょう,Eishou,5,永昌,永昌,永昌,yǒng chāng,manual scan read as 永晶(?) — ROM kana gives 永昌
