province_id,province,has_market,buy_rate_rice_per_100g,sell_rate_rice_per_100g,buy_price_gold_per_rice,sell_price_gold_per_rice
0,辽东 リョウトウ,yes,68,84,1.47,1.19
1,幽州 ユウシュウ,no,0,0,,
2,并州 ヘイシュウ,yes,86,75,1.16,1.33
3,青州 セイシュウ,yes,57,64,1.75,1.56
4,冀州 キシュウ,yes,79,96,1.27,1.04
5,西安阳 セイアンヨウ,no,0,0,,
6,凉州 リョウシュウ,yes,73,52,1.37,1.92
7,安定 アンテイ,yes,61,73,1.64,1.37
8,长安 チョウアン,yes,92,97,1.09,1.03
9,西平关 セイヘイカン,no,0,0,,
10,徐州 ジョシュウ,yes,86,78,1.16,1.28
11,兖州 エンシュウ,yes,88,84,1.14,1.19
12,洛阳 ラクヨウ,yes,97,86,1.03,1.16
13,新野 シンヤ,yes,82,70,1.22,1.43
14,豫州 ヨシュウ,yes,72,61,1.39,1.64
15,建业 ケンギョウ,yes,91,76,1.1,1.32
16,扬州 ヨウシュウ,yes,76,81,1.32,1.23
17,建安 ケンアン,no,0,0,,
18,交州 コウシュウ,yes,69,68,1.45,1.47
19,郁林 イクリン,no,0,0,,
20,江夏 コウカ,yes,81,74,1.23,1.35
21,荆州 ケイシュウ,yes,93,85,1.08,1.18
22,襄阳 ショウヨウ,no,0,0,,
23,长沙 チョウサ,yes,71,79,1.41,1.27
24,零陵 レイリョウ,yes,70,69,1.43,1.45
25,汉中 カンチュウ,yes,82,53,1.22,1.89
26,成都 セイト,yes,80,92,1.25,1.09
27,涪陵 フリョウ,yes,61,83,1.64,1.2
28,云南 ウンナン,yes,55,77,1.82,1.3
29,永昌 エイショウ,no,0,0,,
