province_id,katakana,zh_hans,kanji_ja,town_type,bukiya,gakumonjo,byouin,shouten,facilities_abbr,armory_formation_id
0,リョウトウ,辽东,遼東,4,,yes,,yes,学/商,0
1,ユウシュウ,幽州,幽州,1,yes,,yes,,武/病,0
2,ヘイシュウ,并州,并州,7,yes,,yes,yes,武/病/商,0
3,セイシュウ,青州,青州,8,,yes,yes,yes,学/病/商,0
4,キシュウ,冀州,冀州,9,yes,yes,yes,yes,武/学/病/商,1
5,セイアンヨウ,西安阳,西安陽,1,yes,,yes,,武/病,0
6,リョウシュウ,凉州,涼州,9,yes,yes,yes,yes,武/学/病/商,0
7,アンテイ,安定,安定,5,,,yes,yes,病/商,0
8,チョウアン,长安,長安,9,yes,yes,yes,yes,武/学/病/商,1
9,セイヘイカン,西平关,西平関,1,yes,,yes,,武/病,0
10,ジョシュウ,徐州,徐州,8,,yes,yes,yes,学/病/商,0
11,エンシュウ,兖州,兗州,7,yes,,yes,yes,武/病/商,0
12,ラクヨウ,洛阳,洛陽,9,yes,yes,yes,yes,武/学/病/商,1
13,シンヤ,新野,新野,7,yes,,yes,yes,武/病/商,0
14,ヨシュウ,豫州,豫州,5,,,yes,yes,病/商,0
15,ケンギョウ,建业,建業,9,yes,yes,yes,yes,武/学/病/商,2
16,ヨウシュウ,扬州,揚州,4,,yes,,yes,学/商,0
17,ケンアン,建安,建安,1,yes,,yes,,武/病,0
18,コウシュウ,交州,交州,2,yes,,,yes,武/商,0
19,イクリン,郁林,郁林,1,yes,,yes,,武/病,0
20,コウカ,江夏,江夏,7,yes,,yes,yes,武/病/商,1
21,ケイシュウ,荆州,荊州,6,yes,yes,,yes,武/学/商,0
22,ショウヨウ,襄阳,襄陽,3,,yes,yes,,学/病,0
23,チョウサ,长沙,長沙,6,yes,yes,,yes,武/学/商,0
24,レイリョウ,零陵,零陵,5,,,yes,yes,病/商,0
25,カンチュウ,汉中,漢中,7,yes,,yes,yes,武/病/商,1
26,セイト,成都,成都,9,yes,yes,yes,yes,武/学/病/商,1
27,フリョウ,涪陵,涪陵,2,yes,,,yes,武/商,0
28,ウンナン,云南,雲南,7,yes,,yes,yes,武/病/商,0
29,エイショウ,永昌,永昌,0,yes,yes,,,武/学,1
