# Officer id -> kanji / Chinese name map for 三國志II 覇王の大陸 (Namco, FC 1992).
# The ROM stores katakana only (see tools/extract_officer_names.py); the kanji
# identifications below come from published ROM rosters and were joined to the
# ROM ids by exact match on the 5 visible stats in the master stat table
# (bank $31 @ $8000, id*12), then reading-checked against the ROM katakana.
# See docs/officer_names_kanji.md for provenance and method.
id	katakana	kanji_ja	zh_hant	zh_hans	pinyin	note
0	アカイナン	阿会喃	阿會喃	阿会喃	ā huì nán	
1	イコウ	韋康	韋康	韦康	wéi kāng	
2	イセキ	伊籍	伊籍	伊籍	yī jí	
3	インカイ	尹楷	尹楷	尹楷	yǐn kǎi	
4	インショウ	尹賞	尹賞	尹赏	yǐn shǎng	
5	ウキン	于禁	于禁	于禁	yú jìn	page transcription 於禁 corrected (於=オ); ROM reads ウキン
6	エツキツ	越吉	越吉	越吉	yuè jí	
7	エンキ	袁煕	袁熙	袁熙	yuán xī	
8	エンショウ	袁紹	袁紹	袁绍	yuán shào	
9	エンタン	袁譚	袁譚	袁谭	yuán tán	
10	エンホ	閻圃	閻圃	阎圃	yán pǔ	
11	オウケン	王建	王建	王建	wáng jiàn	
12	オウサン	王粲	王粲	王粲	wáng càn	
13	オウソウ	王双	王雙	王双	wáng shuāng	
14	オウチュウ	王忠	王忠	王忠	wáng zhōng	
15	オウヘイ	王平	王平	王平	wáng píng	
16	オウホ	王甫	王甫	王甫	wáng fǔ	
17	オウルイ	王累	王累	王累	wáng lèi	
18	カイエツ	蒯越	蒯越	蒯越	kuǎi yuè	
19	カイリョウ	蒯良	蒯良	蒯良	kuǎi liáng	
20	カカ	賈華	賈華	贾华	jiǎ huá	
21	カキン	華歆	華歆	华歆	huà xīn	
22	カク	賈詡	賈詡	贾诩	jiǎ xǔ	
23	カクシ	郭汜	郭汜	郭汜	guō sì	
24	カクカ	郭嘉	郭嘉	郭嘉	guō jiā	
25	カクショウ	郝昭	郝昭	郝昭	hǎo zhāo	
26	ガクシン	楽進	樂進	乐进	yuè jìn	
27	カクト	郭図	郭圖	郭图	guō tú	
28	カクワイ	郭淮	郭淮	郭淮	guō huái	
29	カコウエン	夏侯淵	夏侯淵	夏侯渊	xià hóu yuān	
30	カコウトン	夏侯惇	夏侯惇	夏侯惇	xià hóu dūn	page transcription 夏候惇 corrected
